fecha,Depósitos del tesoro en pesos,Depósitos del tesoro en usd
2025-02-10,139.32,-52.5
2025-02-07,-924.43,0.0
2025-02-06,907.45,-610.32
2025-02-05,63.65,0.44
2025-02-04,-4.92,-2.38
2025-02-03,-35.79,0.0
2025-01-31,-2208643.82,-67.49
2025-01-30,61.9,-28.75
2025-01-29,51.44,-0.77
2025-01-28,-69.54,0.0
2025-01-27,-21.52,-7.54
2025-01-24,283.4,-0.02
2025-01-23,-201.68,-154.71
2025-01-22,-2273.85,0.0
2025-01-21,781.86,-4.43
2025-01-20,10.59,0.0
2025-01-17,1795377.82,0.0
2025-01-16,239.05,-37.6
2025-01-15,-1040747.2,836.22
2025-01-14,594.64,-0.74
2025-01-13,-57.25,-0.48
2025-01-10,168.84,-1.18
2025-01-09,11.43,-1699.04
2025-01-08,23.81,-1589.5
2025-01-07,283.8,-23.2
2025-01-06,-5561.69,-11.38
2025-01-03,-103.6,0.0
2025-01-02,-337674.59,-18.01
2024-12-30,-301.62,-11.04
2024-12-27,-3766.71,-3.5
2024-12-26,3727.98,2.77
2024-12-23,-719.5,94.34
2024-12-20,485.06,214.0
2024-12-19,-1591.99,144.54
2024-12-18,-1532658.84,1455.57
2024-12-17,-1448.62,329.77
2024-12-16,595.39,-114.45
2024-12-13,-786648.89,175.24
2024-12-12,726.83,55.95
2024-12-11,70.0,199.96
2024-12-10,113.79,-24.25
2024-12-09,28.06,-5.34
2024-12-06,-233.94,0.0
2024-12-05,-19.3,0.0
2024-12-04,180.97,-1.12
2024-12-03,94.37,0.0
2024-12-02,-14874.08,-77.99
2024-11-29,1590382.49,-7.17
2024-11-28,-187.57,0.0
2024-11-27,201.39,636.96
2024-11-26,75.14,-1.69
2024-11-25,-2995899.1,2811.77
2024-11-22,-679.77,-0.06
2024-11-21,942.14,-0.32
2024-11-20,-6320.05,-18.27
2024-11-19,-811506.94,-5.99
2024-11-15,-7327.95,-310.67
2024-11-14,7376.53,-0.55
2024-11-13,298.06,-0.05
2024-11-12,-168.6,-2.5
2024-11-11,-1378650.35,0.0
2024-11-08,168.95,-1.49
2024-11-07,-1.36,-759.54
2024-11-05,44.72,-40.77
2024-11-04,-48.11,-15.17
2024-11-01,-216.02,-0.2
2024-10-31,-1224045.77,529.19
2024-10-30,92.62,-4.02
2024-10-29,-2434.52,-0.93
2024-10-28,-30445.08,-6.54
2024-10-25,-332.8,-1.21
2024-10-24,292.14,0.23
2024-10-23,-377.34,-0.41
2024-10-22,-8.54,-0.25
2024-10-21,343.01,-31.28
2024-10-18,46.08,-39.36
2024-10-17,-7823.58,-31.97
2024-10-16,54.73,-0.34
2024-10-15,-559718.25,372.08
2024-10-14,836259.8,-3.82
2024-10-10,95.38,-0.35
2024-10-09,178.78,-0.22
2024-10-08,50.57,0.24
2024-10-07,-3248.54,-4.89
2024-10-04,415.45,-1055.88
2024-10-03,-97.77,-3.31
2024-10-02,31.37,-0.27
2024-10-01,-8.22,-27.77
2024-09-30,-2338679.97,-263.94
2024-09-27,513.72,46.2
2024-09-26,-299.55,-41.65
2024-09-25,282.98,-16.96
2024-09-24,-2420.91,-0.5
2024-09-23,-555.18,-7.99
2024-09-20,-234.22,-16.51
2024-09-19,240.7,0.25
2024-09-18,256.74,-35.3
2024-09-17,104.24,-21.62
2024-09-16,250.5,-357.49
2024-09-13,24190.86,-0.8
2024-09-12,-1467700.29,1528.48
2024-09-11,1514.59,-1.04
2024-09-10,-39.9,0.07
2024-09-09,1015.65,-14.04
2024-09-06,-0.35,-0.79
2024-09-05,0.2,0.17
2024-09-04,-519.43,-4.56
2024-09-03,524.63,-40.29
2024-09-02,-85.02,0.0
2024-08-30,891766.43,-13.97
2024-08-29,168.01,-0.25
2024-08-28,54.56,-0.41
2024-08-27,-747.51,-0.56
2024-08-26,393.42,-10.62
2024-08-23,-12115.98,-0.39
2024-08-22,-27.62,-0.64
2024-08-21,299.95,-79.31
2024-08-20,-6461.52,-1.07
2024-08-19,-19421.65,-20.37
2024-08-16,78500.46,-1.08
2024-08-15,-55.31,-106.2
2024-08-14,-170599.1,-1.47
2024-08-13,2911.99,0.04
2024-08-12,87.71,-6.59
2024-08-09,292.19,-10.77
2024-08-08,-242.44,0.15
2024-08-07,129.2,-0.22
2024-08-06,-140.09,-802.87
2024-08-05,-2.1,651.51
2024-08-02,288.22,2.16
2024-08-01,-185.82,-4.55
2024-07-31,-357.83,-73.07
2024-07-30,-27131.83,119.38
2024-07-29,-1594.77,-10.46
2024-07-26,668888.8,-6.41
2024-07-25,-369.87,-159.07
2024-07-24,-495.63,0.12
2024-07-23,382.44,-0.59
2024-07-22,224.47,-3.88
2024-07-19,-5221.01,-27.7
2024-07-18,5557.73,-0.04
2024-07-17,-511.45,2.1
2024-07-16,296.34,-674.33
2024-07-15,-5120.11,-142.58
2024-07-12,3191395.12,1.86
2024-07-11,89.42,0.34
2024-07-10,194.91,-966.51
2024-07-08,-155.52,-1624.81
2024-07-05,-3695.67,-12.31
2024-07-04,-3499858.64,3822.36
2024-07-03,-183.92,1.4
2024-07-02,263.39,-1.5
2024-07-01,2759693.24,-35.37
2024-06-28,1601.3,-30.93
2024-06-27,112.82,0.42
2024-06-26,26.37,-6.16
2024-06-25,-219.09,-0.71
2024-06-24,-397.18,-61.02
2024-06-19,-5158.44,-2.51
2024-06-18,-8986.46,739.58
2024-06-14,232746.58,-140.91
2024-06-13,-18209.19,-1.29
2024-06-12,-1650.18,-0.73
2024-06-11,1010.6,0.02
2024-06-10,-195479.98,-26.07
2024-06-07,28.09,-5.51
2024-06-06,15.21,0.04
2024-06-05,19.9,-1.67
2024-06-04,-18.86,-0.85
2024-06-03,-190054.18,144.21
2024-05-31,3520347.83,196.41
2024-05-30,-563639.91,-29.45
2024-05-29,3.28,-0.22
2024-05-28,-23.77,-16.64
2024-05-27,111.35,-1.6
2024-05-24,-864.44,-2.35
2024-05-23,1707221.85,0.01
2024-05-22,192.1,-0.17
2024-05-21,340.65,11.79
2024-05-20,8165729.26,-44.04
2024-05-17,-2128.03,-0.56
2024-05-16,26.15,0.35
2024-05-15,-336113.38,95.18
2024-05-14,5719.98,-0.51
2024-05-13,-3.84,-1.09
2024-05-10,-452.6,-0.36
2024-05-09,-427261.52,-0.17
2024-05-08,206121.15,-1.7
2024-05-07,16.51,-17.3
2024-05-06,-94.64,-844.84
2024-05-03,77.72,1.23
2024-05-02,222.13,0.14
2024-04-30,-117405.05,-1847.18
2024-04-29,-20786.53,-19.09
2024-04-26,-298.58,-0.31
2024-04-25,-239.43,-0.16
2024-04-24,159.76,1.27
2024-04-23,-0.23,-2.5
2024-04-22,-2.85,-38.53
2024-04-19,367.26,-1.21
2024-04-18,-7010.55,-21.9
2024-04-17,-6800.31,-31.76
2024-04-16,-1713955.21,1972.35
2024-04-15,2321867.93,66.11
2024-04-12,104.86,-6.92
2024-04-11,-590.46,-5.5
2024-04-10,-6.39,-3.0
2024-04-09,-50.2,1.3
2024-04-08,71.2,-4.57
2024-04-05,-8151.7,-0.7
2024-04-04,298.42,2.95
2024-04-03,-15272.4,-10.65
2024-03-27,-112754.61,0.04
2024-03-26,-291413.35,-198.1
2024-03-25,788746.14,-57.34
2024-03-22,-1654.24,-4.59
2024-03-21,333.3,2.33
2024-03-20,-181502.66,-17.66
2024-03-19,-3387.71,-2.41
2024-03-18,3653.63,-43.64
2024-03-15,56103.33,-347.81
2024-03-14,-818.3,-3.92
2024-03-13,1085.73,-0.22
2024-03-12,134.83,-0.75
2024-03-11,-127.55,-11.0
2024-03-08,255.77,-1.42
2024-03-07,-252.93,1.58
2024-03-06,-5.31,0.37
2024-03-05,40.77,-0.47
2024-03-04,44.26,-3.65
2024-03-01,-51.1,-42.4
2024-02-29,-442.31,0.62
2024-02-28,143744.48,-1.81
2024-02-27,-978.51,-0.34
2024-02-26,1046.05,-3.94
2024-02-23,-40462.28,-1.17
2024-02-22,-625026.16,746.97
2024-02-21,-400.43,-82.23
2024-02-20,167128.48,-20.6
2024-02-19,-102315.87,113.76
2024-02-16,-2451.36,0.38
2024-02-15,-402.51,-110.56
2024-02-14,-250706.83,104.51
2024-02-09,-800.22,-11.52
2024-02-08,875.63,-1.01
2024-02-07,-17.61,1.5
2024-02-06,-50.92,-799.14
2024-02-05,-33000.02,25.5
2024-02-02,0.99,4.25
2024-02-01,3848.07,-967.71
2024-01-31,-469.87,2636.38
2024-01-30,200.85,-30.75
2024-01-29,-110184.47,97.72
2024-01-26,-21415.73,-4.62
2024-01-25,-580.87,-166.53
2024-01-24,584.64,0.0
2024-01-23,437.27,0.0
2024-01-22,-150553.83,179.25
2024-01-19,462.93,-4.46
2024-01-18,421834.95,0.0
2024-01-17,-74.68,-21.4
2024-01-16,290.01,-135.91
2024-01-15,-88596.78,103.17
2024-01-12,-1565.86,-0.75
2024-01-11,1758.32,-0.97
2024-01-10,1579.31,-0.06
2024-01-09,396.41,-588.34
2024-01-08,-380.1,647.6
2024-01-05,-9635.67,0.0
2024-01-04,-7507.32,-2.19
2024-01-03,-493.17,0.0
